Denominação Comum Brasileira (DCB),Concentração/Composição,Forma Farmacêutica
alfapeginterferona 2b,"177,6 mcg (120 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"177,6 microgramas (120 microgramas/ 0,5 mL após reconstituição)",pó para solução injetável
alfaporactanto (surfactante pulmonar),80 mg/mL,suspensão injetável intratecal ou intrabronquica
alfataliglicerase,200.0 U,pó liófilo para solução injetável
alfataliglicerase,200.0 U,pó para solução injetável
alfavelaglicerase,400.0 U,pó liófilo para solução injetável
alfavelaglicerase,400.0 U,pó para solução injetável
alfavestronidase,2 mg/mL,solução injetável
algestona acetofenida + enantato de estradiol,150 mg/mL + 10 mg/mL,solução injetável
alopurinol,100.0 mg,comprimido
alopurinol,300.0 mg,comprimido
alteplase,10.0 mg,pó para solução injetável
alteplase,20.0 mg,pó para solução injetável
alteplase,50.0 mg,pó para solução injetável
ambrisentana,10.0 mg,comprimido
ambrisentana,5.0 mg,comprimido
amoxicilina,50 mg/mL,suspensão oral
amoxicilina,500.0 mg,comprimido
amoxicilina,500.0 mg,cápsula
amoxicilina + clavulanato de potássio,"50 mg/mL + 12,5 mg/mL",suspensão oral
amoxicilina + clavulanato de potássio,500 mg + 125 mg,comprimido
anfotericina B (complexo lipídico),5 mg/mL,suspensão injetável
anfotericina B (desoxicolato),50.0 mg,pó para solução injetável
anfotericina B (lipossomal),50.0 mg,pó para solução injetável
anidulafungina,100.0 mg,pó liofilizado para solução injetável
antimoniato de meglumina,300 mg/mL,solução injetável
aroeira (Schinus terebinthifolia Raddi),"1,932 mg de ácido gálico (dose diária)",gel vaginal
aroeira (Schinus terebinthifolia Raddi),"1,932 mg de ácido gálico (dose diária)",óvulo vaginal
artemeter + lumefantrina,20 mg + 120 mg,comprimido
arteméter + lumefantrina,20 mg + 120 mg,comprimido
artesunato,60 mg/mL,pó para solução injetável
artesunato + mefloquina,100 mg + 220 mg,comprimido
artesunato + mefloquina,25 mg + 50 mg,comprimido
atenolol,100.0 mg,comprimido
atenolol,50.0 mg,comprimido
atorvastatina cálcica,10.0 mg,comprimido
atorvastatina cálcica,20.0 mg,comprimido
atorvastatina cálcica,40.0 mg,comprimido
atorvastatina cálcica,80.0 mg,comprimido
azatioprina,50.0 mg,comprimido
azitromicina,250.0 mg,comprimido
azitromicina,40 mg/mL,pó para suspensão oral
azitromicina,500.0 mg,comprimido
babosa (Aloe vera (L.) Burm. f.),10%-70% gel fresco,creme
babosa (Aloe vera (L.) Burm. f.),10%-70% gel fresco,gel
babosa (Aloe vera (L.) Burm. f.),10-70% gel fresco,creme
babosa (Aloe vera (L.) Burm. f.),10-70% gel fresco,gel
baricitinibe,2.0 mg,comprimido
baricitinibe,4.0 mg,comprimido
basiliximabe,20.0 mg,pó para solução injetável
bedaquilina,100.0 mg,comprimido
benzilpenicilina benzatina,1.200.000 UI,pó para suspensão injetável
benzilpenicilina benzatina,1.200.000 UI,suspensão injetável
benzilpenicilina benzatina,600.0 UI,pó para suspensão injetável
benzilpenicilina benzatina,600.0 UI,suspensão injetável
benzilpenicilina potássica,5.000.000 UI,pó para solução injetável
benzilpenicilina procaína + benzilpenicilina potássica,300.000 UI + 100.000 UI,pó para suspensão injetável
benznidazol,100.0 mg,comprimido
benznidazol,"12,5 mg",comprimido
benzoilmetronidazol,40 mg/mL,suspensão oral
beractanto (surfactante pulmonar),25 mg/mL,solução injetável intratecal ou intrabronquica
besilato de anlodipino,10.0 mg,comprimido
besilato de anlodipino,5.0 mg,comprimido
beta-agalsidase,35.0 mg,pó liófilo para solução injetável
beta-agalsidase,35.0 mg,pó para solução injetável
betainterferona 1a,22 mcg (6.000.000 UI),solução injetável
betainterferona 1a,30 mcg (6.000.000 UI),solução injetável
betainterferona 1a,44 mcg (12.000.000 UI),solução injetável
betainterferona 1b,300 mcg (9.600.000 UI),pó liófilo para solução injetável
betainterferona 1b,300 mcg (9.600.000 UI),pó para solução injetável
bezafibrato,200.0 mg,comprimido
bezafibrato,400.0 mg,comprimido de liberação prolongada
bicarbonato de sódio,"84 mg/mL (8,4%) equivalente a 1 mEq/mL",solução injetável
bimatoprosta,"0,3 mg/mL (0,03%)",solução oftálmica
biotina,"2,5 mg",cápsula
bissulfato de clopidogrel,75.0 mg,comprimido
bosentana,125.0 mg,comprimido
bosentana,"62,5 mg",comprimido
brinzolamida,10 mg/mL (1%),suspensão oftálmica
brometo de ipratrópio,"0,25 mg/mL",solução para inalação
brometo de ipratrópio,20 mcg/dose,solução aerossol
brometo de piridostigmina,60.0 mg,comprimido
brometo de tiotrópio monoidratado + cloridrato de olodaterol,"2,5 mcg + 2,5 mcg",solução inalatória
brometo de umeclidínio + trifenatato de vilanterol,"62,5 mcg + 25 mcg",pó inalatório
bromidrato de fenoterol,100 mcg/dose,solução aerossol
bromidrato de galantamina,16.0 mg,cápsula de liberação prolongada
bromidrato de galantamina,24.0 mg,cápsula de liberação prolongada
bromidrato de galantamina,8.0 mg,cápsula de liberação prolongada
budesonida,200.0 mcg,aerossol oral
budesonida,200.0 mcg,cápsula inalatória
budesonida,200.0 mcg,cápsula para inalação
budesonida,200.0 mcg,pó inalatório
budesonida,32.0 mcg,suspensão para inalação nasal
budesonida,400.0 mcg,cápsula inalatória
budesonida,400.0 mcg,cápsula para inalação
budesonida,50.0 mcg,suspensão para inalação nasal
budesonida,64.0 mcg,suspensão para inalação nasal
burosumabe,10 mg/mL,solução injetável
burosumabe,20 mg/mL,solução injetável
burosumabe,30 mg/mL,solução injetável
cabergolina,"0,5 mg",comprimido
calcipotriol,"50 mcg/g (0,005%)",pomada
calcitonina,200 UI/dose,solução nasal
calcitriol,"0,25 mcg",cápsula
caneta para aplicação de insulina,-,-
capreomicina,1.0 g,pó para solução injetável
captopril,25.0 mg,comprimido
carbamazepina,20 mg/mL,suspensão oral
carbamazepina,200.0 mg,comprimido
carbamazepina,400.0 mg,comprimido
carbonato de cálcio,1.250 mg (equivalente a 500 mg de cálcio elementar),comprimido
carbonato de cálcio + colecalciferol,1.250 mg (equivalente a 500 mg de cálcio elementar) + 200 UI,comprimido
carbonato de cálcio + colecalciferol,1.250 mg (equivalente a 500 mg de cálcio elementar) + 400 UI,comprimido
carbonato de cálcio + colecalciferol,1.500 mg (equivalente a 600 mg de cálcio elementar) + 400 UI,comprimido
carbonato de lítio,300.0 mg,comprimido
carvedilol,"12,5 mg",comprimido
carvedilol,25.0 mg,comprimido
carvedilol,"3,125 mg",comprimido
carvedilol,"6,25 mg",comprimido
carvão vegetal ativado,-,pó para suspensão oral
cefalexina,50 mg/mL,suspensão oral
cefalexina,500.0 mg,comprimido
cefalexina,500.0 mg,cápsula
cefotaxima sódica,500.0 mg,pó para solução injetável
ceftriaxona,1.0 g,pó para solução injetável
ceftriaxona,250.0 mg,pó para solução injetável
ceftriaxona,500.0 mg,pó para solução injetável
certolizumabe pegol,200 mg/mL,solução injetável
cetoconazol,20 mg/mL (2%),xampu
cianocobalamina,500 mcg/mL,solução injetável
ciclofosfamida,50.0 mg,comprimido de liberação retardada
ciclosporina,10.0 mg,cápsula
ciclosporina,10.0 mg,cápsula mole
ciclosporina,100 mg/mL,solução oral
ciclosporina,100.0 mg,cápsula
ciclosporina,100.0 mg,cápsula mole
ciclosporina,25.0 mg,cápsula
ciclosporina,25.0 mg,cápsula mole
ciclosporina,50.0 mg,cápsula
ciclosporina,50.0 mg,cápsula mole
ciclosporina,50.0 mg,solução injetável
ciprofibrato,100.0 mg,comprimido
ciprofloxacino,250.0 mg,comprimido
ciprofloxacino,500.0 mg,comprimido
citrato de dietilcarbamazina,50.0 mg,comprimido
citrato de sildenafila,20.0 mg,comprimido
citrato de sildenafila,25.0 mg,comprimido
citrato de sildenafila,50.0 mg,comprimido
cladribina,10.0 mg,comprimido
claritromicina,250.0 mg,comprimido
claritromicina,50 mg/mL,grânulo para suspensão oral
claritromicina,500.0 mg,comprimido
claritromicina,500.0 mg,cápsula
clobazam,10.0 mg,comprimido
clobazam,20.0 mg,comprimido
clofazimina,100.0 mg*,cápsula
clofazimina,50.0 mg*,cápsula
clofazimina*,100.0 mg,cápsula
clofazimina*,50.0 mg*,cápsula
clonazepam,"2,5 mg/mL",solução oral
cloranfenicol,25 mg/mL,suspensão oral
cloranfenicol,250.0 mg,comprimido
cloranfenicol,250.0 mg,cápsula
cloreto de potássio,"191 mg/mL (19,1%) equivalente a 2,56 mEq/mL",solução injetável
cloreto de sódio,"200 mg/mL (20%) equivalente a 3,4 mEq/mL",solução injetável
cloreto de sódio,"9 mg/mL (0,9%)",solução nasal
cloreto de sódio,"9 mg/mL (0,9%) equivalente a 0,154 mEq/mL",solução injetável
cloridrato de amantadina,100.0 mg,comprimido
cloridrato de amiodarona,200.0 mg,comprimido
cloridrato de amiodarona,50 mg/mL,solução injetável
cloridrato de amitriptilina,25.0 mg,comprimido
cloridrato de amitriptilina,75.0 mg,comprimido
cloridrato de biperideno,2.0 mg,comprimido
cloridrato de biperideno,4.0 mg,comprimido de liberação prolongada
cloridrato de bupivacaína,"2,5 mg/mL (0,25%)",solução injetável
cloridrato de bupivacaína,"5 mg/mL (0,50%)",solução injetável
cloridrato de bupropiona,150.0 mg,comprimido de liberação prolongada
cloridrato de cinacalcete,30.0 mg,comprimido
cloridrato de cinacalcete,60.0 mg,comprimido
cloridrato de clindamicina,150.0 mg,cápsula
cloridrato de clindamicina,300.0 mg,cápsula
cloridrato de clomipramina,10.0 mg,comprimido
cloridrato de clomipramina,25.0 mg,comprimido
cloridrato de clorpromazina,100.0 mg,comprimido
cloridrato de clorpromazina,25.0 mg,comprimido
cloridrato de clorpromazina,40 mg/mL,solução oral
cloridrato de clorpromazina,5 mg/mL,solução injetável
cloridrato de dobutamina,"12,5 mg/mL",solução injetável
cloridrato de donepezila,10.0 mg,comprimido
cloridrato de donepezila,5.0 mg,comprimido
cloridrato de dopamina,5 mg/mL,solução injetável
cloridrato de dorzolamida,20 mg/mL,solução oftálmica
cloridrato de etambutol,400.0 mg,comprimido
cloridrato de fingolimode,"0,5 mg",cápsula
cloridrato de fluoxetina,20.0 mg,comprimido
cloridrato de fluoxetina,20.0 mg,cápsula
cloridrato de hidralazina,25.0 mg,comprimido
cloridrato de hidralazina,50.0 mg,comprimido
cloridrato de hidroxocobalamina,5.0 g,pó para solução injetável
cloridrato de lidocaína,10 mg/mL (1%),solução injetável
cloridrato de lidocaína,100 mg/mL (10%),solução spray
cloridrato de lidocaína,20 mg/g (2%),gel
cloridrato de lidocaína,20 mg/mL (2%),solução injetável
cloridrato de lidocaína + glicose,"50 mg/mL + 75 mg/mL (5% + 7,5%)",solução injetável
cloridrato de lidocaína + hemitartarato de epinefrina,1% + 1:200.000 (10 mg + 20 mcg/mL),solução injetável
cloridrato de lidocaína + hemitartarato de epinefrina,2% + 1:200.000 (20 mg + 20 mcg/mL),solução injetável
cloridrato de lidocaína + hemitartarato de epinefrina,"2% + 1:80.000 (20 mg + 12,5 mcg/mL)",solução injetável
cloridrato de memantina,10.0 mg,comprimido
cloridrato de metadona,10 mg/mL,solução injetável
cloridrato de metadona,10.0 mg,comprimido
cloridrato de metadona,5.0 mg,comprimido
cloridrato de metformina,500.0 mg,comprimido
cloridrato de metformina,850.0 mg,comprimido
cloridrato de metoclopramida,10.0 mg,comprimido
cloridrato de metoclopramida,4 mg/mL,solução oral
cloridrato de metoclopramida,5 mg/mL,solução injetável
cloridrato de minociclina,100.0 mg,comprimido
cloridrato de moxifloxacino,400.0 mg,comprimido
cloridrato de naloxona,"0,4 mg/mL",solução injetável
cloridrato de nortriptilina,10.0 mg,cápsula
cloridrato de nortriptilina,25.0 mg,cápsula
cloridrato de nortriptilina,50.0 mg,cápsula
cloridrato de nortriptilina,75.0 mg,cápsula
cloridrato de ondansetrona,4.0 mg,comprimido
cloridrato de ondansetrona,4.0 mg,comprimido orodispersível
cloridrato de ondansetrona,8.0 mg,comprimido
cloridrato de ondansetrona,8.0 mg,comprimido orodispersível
cloridrato de pilocarpina,20 mg/mL (2%),solução oftálmica
cloridrato de piridoxina,100.0 mg,comprimido
cloridrato de piridoxina,40.0 mg,comprimido
cloridrato de piridoxina,50.0 mg,comprimdo
cloridrato de piridoxina,50.0 mg,comprimido
cloridrato de prilocaína + felipressina,"30 mg/mL (3%) + 0,03 UI/mL",solução injetável
cloridrato de prometazina,25 mg/mL,solução injetável
cloridrato de prometazina,25.0 mg,comprimido
cloridrato de propafenona,150.0 mg,comprimido
cloridrato de propafenona,300.0 mg,comprimido
cloridrato de propranolol,10.0 mg,comprimido
cloridrato de propranolol,40.0 mg,comprimido
cloridrato de protamina,10 mg/mL,solução injetável
cloridrato de raloxifeno,60.0 mg,comprimido
cloridrato de selegilina,5.0 mg,comprimido
cloridrato de sevelâmer,800.0 mg,comprimido
cloridrato de tetraciclina,5 mg/g,pomada oftálmica
cloridrato de tetraciclina,500.0 mg,cápsula
cloridrato de tiamina,300.0 mg,comprimido
cloridrato de tirofibana,"0,25 mg/mL",solução injetável
cloridrato de triexifenidil,5.0 mg,comprimido
cloridrato de verapamil,120.0 mg,comprimido
cloridrato de verapamil,"2,5 mg/mL",solução injetável
cloridrato de verapamil,80.0 mg,comprimido
cloridrato de ziprasidona,40.0 mg,cápsula
cloridrato de ziprasidona,80.0 mg,cápsula
clozapina,100.0 mg,comprimido
clozapina,25.0 mg,comprimido
colistimetato de sódio,1.000.000 UI (80 mg),pó para solução para infusão e inalação
colistimetato de sódio,1.000.000 UI (80 mg),pó para solução para infusão ou inalação
colistimetato de sódio,2.000.000 UI (160 mg),pó para solução para infusão e inalação
colistimetato de sódio,2.000.000 UI (160 mg),pó para solução para infusão ou inalação
complemento alimentar para paciente fenilcetonúrico maior de 1 ano (fórmula de aminoácidos isenta de fenilalanina),-,pó
complemento alimentar para paciente fenilcetonúrico menor de 1 ano (fórmula de aminoácidos isenta de fenilalanina),-,pó
complexo protrombínico humano,500.0 UI,pó para solução injetável
complexo protrombínico humano,600 unidades internacionais,pó para solução injetável
complexo protrombínico humano,600.0 UI,pó para solução injetável
complexo protrombínico parcialmente ativado,1.0 UI,pó para solução injetável
complexo protrombínico parcialmente ativado,1.0UI,pó para solução injetável
complexo protrombínico parcialmente ativado,2.50 UI,pó para solução injetável
complexo protrombínico parcialmente ativado,2.50UI,pó para solução injetável
complexo protrombínico parcialmente ativado,500.0 UI,pó para solução injetável
cáscara-sagrada (Rhamnus purshiana),20 a 30 mg de derivados hidroxiantracênicos expressos em cascarosídeo A (dose diária),cápsula
cáscara-sagrada (Rhamnus purshiana),20 a 30 mg de derivados hidroxiantracênicos expressos em cascarosídeo A (dose diária),tintura
daclatasvir,30.0 mg,comprimido
daclatasvir,60.0 mg,comprimido
daclizumabe,5 mg/mL,solução injetável
danazol,100.0 mg,cápsula
danazol,200.0 mg,cápsula
dapagliflozina propanodiol,10.0 mg,comprimido
dapsona*,100.0 mg,comprimido
dapsona*,100.0 mg*,comprimido
dapsona*,50.0 mg*,comprimido
darunavir,150.0 mg,comprimido
darunavir,600.0 mg,comprimido
darunavir,75.0 mg,comprimido
darunavir,800.0 mg,comprimido
deferasirox,125.0 mg,comprimido para suspensão
deferasirox,250.0 mg,comprimido para suspensão
deferasirox,500.0 mg,comprimido para suspensão
deferiprona,500.0 mg,comprimido
delamanida,50.0 mg,comprimido
dexametasona,"0,1 mg/mL",elixir
dexametasona,"1 mg/g (0,1%)",creme dermatológico
dexametasona,"1 mg/g (0,1%)",pomada oftálmica
dexametasona,"1 mg/mL (0,1%)",suspensão oftálmica
dexametasona,4 mg/mL,solução injetável
dexametasona,4.0 mg,comprimido
diafragma,60 mm de diâmetro,-
diafragma,65 mm de diâmetro,-
diafragma,70 mm de diâmetro,-
diafragma,75 mm de diâmetro,-
diafragma,80 mm de diâmetro,-
diafragma,85 mm de diâmetro,-
diazepam,10.0 mg,comprimido
diazepam,5 mg/mL,solução injetável
diazepam,5.0 mg,comprimido
dicloridrato de pramipexol,"0,125 mg",comprimido
dicloridrato de pramipexol,"0,25 mg",comprimido
dicloridrato de pramipexol,1.0 mg,comprimido
dicloridrato de sapropterina,100.0 mg,comprimido
dicloridrato de sapropterina,100.0 mg,comprimido solúvel
dicloridrato de trientina,250.0 mg,cápsula
difosfato de cloroquina,150.0 mg,comprimido
difosfato de primaquina,15.0 mg,comprimido
difosfato de primaquina,5.0 mg,comprimido
digliconato de clorexidina,"0.0,12%",solução bucal
digliconato de clorexidina,2% a 4%,solução para uso tópico
digoxina,"0,05 mg/mL",elixir
digoxina,"0,25 mg",comprimido
dinitrato de isossorbida,5.0 mg,comprimido sublingual
dipirona,500 mg/mL,solução injetável
dipirona,500 mg/mL,solução oral
dipirona,500.0 mg,comprimido
dipropionato de beclometasona,200 mcg/dose,cápsula para inalação oral
dipropionato de beclometasona,200 mcg/dose,pó para inalação oral
dipropionato de beclometasona,200 mcg/dose,solução aerossol
dipropionato de beclometasona,250 mcg/dose,solução aerossol
dipropionato de beclometasona,400 mcg/dose,cápsula para inalação oral
dipropionato de beclometasona,400 mcg/dose,pó para inalação oral
dipropionato de beclometasona,50 mcg/dose,solução aerossol
dipropionato de beclometasona,50 mcg/dose,suspensão para inalação nasal
dispositivo intrauterino plástico com cobre (DIU),-,modelo T 380 mm()
dispositivo intrauterino plástico com cobre (DIU),-,modelo T 380 mm2
dolutegravir sódico,5.0 mg,comprimidos dispersíveis
dolutegravir sódico,5.0mg,comprimidos dispersíveis
dolutegravir sódico,50.0 mg,comprimido
dolutegravir sódico + lamivudina,50 mg + 300 mg,comprimido
doxiciclina,100.0 mg,comprimido
doxiciclina,100.0 mg,comprimido solúvel
doxiciclina,100.0 mg,pó para solução injetável
eculizumabe,10 mg/mL,solução para diluição para infusão
efavirenz,200.0 mg,cápsula
efavirenz,30 mg/mL,solução oral
efavirenz,600.0 mg,comprimido
elbasvir + grazoprevir monidratado,50 mg + 100 mg,comprimido
elexacaftor/ tezacaftor/ivacaftor + ivacaftor,100 mg/50 mg/75 mg + 150 mg,comprimido
elexacaftor/ tezacaftor/ivacaftor + ivacaftor,"50 mg/25 mg/37,5 mg + 75 mg",comprimido
elexacaftor/tezacaftor/ ivacaftor + ivacaftor,100 mg/50 mg/75 mg + 150 mg,comprimido
elexacaftor/tezacaftor/ ivacaftor + ivacaftor,"50 mg/25 mg/37,5 mg + 75 mg",comprimido
eltrombopague olamina,25.0 mg,comprimido
eltrombopague olamina,50.0 mg,comprimido
embonato de triptorrelina,"11,25 mg",pó para suspensão injetável de liberação prolongada
embonato de triptorrelina,"22,5 mg",pó para suspensão injetável de liberação prolongada
emicizumabe,"150 mg /mL (apresentações de 0,4 ml , 0,7 ml e 1 ml)",solução injetável
emicizumabe,30 mg/mL,solução injetável
enantato de noretisterona + valerato de estradiol,50 mg/mL + 5 mg/mL,solução injetável
enfuvirtida,108 mg (90 mg/mL após reconstituição),pó para solução injetável
enoxaparina sódica,"40 mg/0,4 mL",solução injetável
enoxaparina sódica,"60 mg/0,6 mL",solução injetável
entacapona,200.0 mg,comprimido
entecavir,"0,5 mg",comprimido
entecavir,1.0 mg,comprimido
epinefrina,1 mg/mL,solução injetável
espinheira-santa (Maytenus ilicifolia Mart. ex Reissek e/ou Monteverdia ilicifolia (Mart. ex Reissek) Biral ),60 a 90 mg taninos totais expressos em pirogalol (dose diária),cápsula
espinheira-santa (Maytenus ilicifolia Mart. ex Reissek e/ou Monteverdia ilicifolia (Mart. ex Reissek) Biral ),60 a 90 mg taninos totais expressos em pirogalol (dose diária),emulsão oral
espinheira-santa (Maytenus ilicifolia Mart. ex Reissek e/ou Monteverdia ilicifolia (Mart. ex Reissek) Biral ),60 a 90 mg taninos totais expressos em pirogalol (dose diária),suspensão oral
espinheira-santa (Maytenus ilicifolia Mart. ex Reissek e/ou Monteverdia ilicifolia (Mart. ex Reissek) Biral ),60 a 90 mg taninos totais expressos em pirogalol (dose diária),tintura
espiramicina,1.500.000 UI,comprimido
espironolactona,100.0 mg,comprimido
espironolactona,25.0 mg,comprimido
estolato de eritromicina,25 mg/mL,suspensão oral
estolato de eritromicina,50 mg/mL,suspensão oral
estolato de eritromicina,500.0 mg,comprimido
estreptoquinase,250.0 UI,pó para solução injetável
estriol,1 mg/g,creme vaginal
estrogênios conjugados,"0,3 mg",comprimido
estrogênios conjugados,"0,625 mg",comprimido
estrogênios conjugados,"0,625 mg/g",creme vaginal
etanercepte,25.0 mg,solução injetável
etanercepte,50.0 mg,solução injetável
etinilestradiol + levonorgestrel,"0,03 mg + 0,15 mg",comprimido
etionamida,250.0 mg,comprimido
etofibrato,500.0 mg,cápsula
etossuximida,50 mg/mL,xarope
etravirina,100.0 mg,comprimido
etravirina,200.0 mg,comprimido
everolimo,"0,5 mg",comprimido
everolimo,"0,75 mg",comprimido
everolimo,1.0 mg,comprimido
fator IX de coagulação,1.0 UI,pó para solução injetável
fator IX de coagulação,1.20 UI,pó para solução injetável
fator IX de coagulação,200.0 UI,pó para solução injetável
fator IX de coagulação,250.0 UI,pó para solução injetável
fator IX de coagulação,500.0 UI,pó para solução injetável
fator IX de coagulação,600.0 UI,pó para solução injetável
fator VII de coagulação ativado recombinante,1 mg (50.000 UI),pó para solução injetável
fator VII de coagulação ativado recombinante,2 mg (100.000 UI),pó para solução injetável
fator VII de coagulação ativado recombinante,5 mg (250.000 UI),pó para solução injetável
fator VIII de coagulação,1.0 UI,pó para solução injetável
fator VIII de coagulação,250.0 UI,pó para solução injetável
fator VIII de coagulação,500.0 UI,pó para solução injetável
fator VIII de coagulação contendo fator de von Willebrand,1.0 UI,pó para solução injetável
fator VIII de coagulação contendo fator de von Willebrand,250.0 UI,pó para solução injetável
fator VIII de coagulação contendo fator de von Willebrand,500.0 UI,pó para solução injetável
fator VIII de coagulação recombinante,1.0 UI,pó para solução injetável
fator VIII de coagulação recombinante,1.50 UI,pó para solução injetável
fator VIII de coagulação recombinante,250.0 UI,pó para solução injetável
fator VIII de coagulação recombinante,500.0 UI,pó para solução injetável
fator XIII de coagulação,250.0 UI,pó para solução injetável
fenitoína,100.0 mg,comprimido
fenitoína,20 mg/mL,suspensão oral
fenitoína,50 mg/mL,solução injetável
fenobarbital,100 mg/mL,solução injetável
fenobarbital,100.0 mg,comprimido
fenobarbital,40 mg/mL,solução oral
fenofibrato,200.0 mg,cápsula
fenofibrato,250.0 mg,cápsula de liberação retardada
fenoximetilpenicili- na potássica,80.000 UI/mL,pó para solução oral
fenoximetilpenicilina potássica,80.000 UI/mL,pó para solução oral
ferripolimaltose,10 mg/mL,xarope
ferripolimaltose,100.0 mg,comprimido mastigável
ferripolimaltose,50 mg/mL,solução oral
fibrinogênio,1.0 g,pó para solução injetável
filgrastim,300.0 mcg,solução injetável
finasterida,5.0 mg,comprimido
flucitosina,500.0 mg,cápsula
fluconazol,10 mg/mL,suspensão oral
